ticket_id,text,category,sentiment,urgent,created_at,response_time_hours,priority
1,Billing invoice incorrect,Billing,Negative,True,3/11/2024,60,high
2,General inquiry,General,Negative,False,1/10/2024,21,medium
3,Error while uploading file,Technical,Neutral,True,2/3/2024,1,medium
4,Website not loading,Technical,Negative,True,1/28/2024,43,high
5,How to use this feature?,General,Negative,False,2/6/2024,61,medium
6,Feature not working properly,Technical,Positive,False,2/11/2024,4,medium
7,App crashes on login,Technical,Positive,False,2/9/2024,34,medium
8,Website not loading,Technical,Negative,True,1/16/2024,42,high
9,Verification email not received,Account,Positive,True,3/26/2024,44,medium
10,Unable to reset password,Account,Positive,True,2/17/2024,24,medium
11,Request for demo,General,Negative,True,1/31/2024,69,high
12,App crashes on login,Technical,Positive,False,1/30/2024,59,medium
13,How to use this feature?,General,Negative,False,1/28/2024,58,medium
14,Unable to reset password,Account,Positive,False,3/18/2024,69,low
15,Billing invoice incorrect,Billing,Neutral,False,3/11/2024,40,medium
16,Login issues with account,Account,Negative,False,1/7/2024,71,medium
17,Feature not working properly,Technical,Neutral,True,2/27/2024,27,medium
18,Charged twice for subscription,Billing,Negative,False,2/18/2024,48,medium
19,Website not loading,Technical,Neutral,False,1/15/2024,48,medium
20,Charged twice for subscription,Billing,Negative,True,1/30/2024,3,high
21,Refund not processed,Billing,Negative,False,1/27/2024,53,medium
22,App crashes on login,Technical,Positive,False,1/17/2024,20,medium
23,Need more information about product,General,Neutral,False,2/18/2024,10,low
24,General inquiry,General,Neutral,False,1/12/2024,1,low
25,Payment failed again,Billing,Negative,True,2/18/2024,18,high
26,Unable to reset password,Account,Positive,False,2/10/2024,52,low
27,Feature not working properly,Technical,Positive,False,2/22/2024,45,medium
28,Unable to update payment method,Billing,Neutral,False,1/20/2024,47,medium
29,Refund not processed,Billing,Positive,False,2/7/2024,60,medium
30,How to use this feature?,General,Neutral,False,2/19/2024,35,low
31,Profile update failed,Account,Positive,True,2/2/2024,70,medium
32,Charged twice for subscription,Billing,Positive,False,3/26/2024,70,medium
33,Account locked unexpectedly,Account,Positive,False,1/14/2024,24,low
34,Error while uploading file,Technical,Negative,True,1/27/2024,18,high
35,Verification email not received,Account,Negative,True,1/17/2024,31,high
36,Login issues with account,Account,Negative,False,2/13/2024,19,medium
37,System timeout issue,Technical,Positive,True,3/14/2024,35,medium
38,How to use this feature?,General,Negative,True,2/11/2024,19,high
39,Feedback on service,General,Neutral,True,3/25/2024,40,medium
40,Error while uploading file,Technical,Neutral,True,1/31/2024,71,medium
41,Request for demo,General,Negative,False,1/29/2024,52,medium
42,Feedback on service,General,Positive,True,3/20/2024,71,medium
43,Unable to update payment method,Billing,Positive,False,1/6/2024,51,medium
44,Website not loading,Technical,Negative,True,3/26/2024,14,high
45,Profile update failed,Account,Negative,False,1/4/2024,59,medium
46,Billing invoice incorrect,Billing,Neutral,False,1/1/2024,71,medium
47,General inquiry,General,Negative,False,2/5/2024,46,medium
48,Feature not working properly,Technical,Negative,False,2/16/2024,48,medium
49,Verification email not received,Account,Negative,False,2/11/2024,2,medium
50,Refund not processed,Billing,Neutral,False,2/20/2024,2,medium
