ticket_id,text,category,sentiment,urgent,created_at,response_time_hours,priority
1,Unable to update payment method,Billing,Neutral,False,2024-11-27,7,medium
2,Feedback on service,General,Positive,False,2024-03-15,47,low
3,Request for demo,General,Positive,False,2024-02-29,5,low
4,Profile update failed,Account,Neutral,False,2024-03-29,9,low
5,Refund not processed,Billing,Negative,False,2024-09-03,55,medium
6,How to use this feature?,General,Positive,False,2024-03-01,29,low
7,How to use this feature?,General,Negative,False,2024-03-04,51,medium
8,Error while uploading file,Technical,Positive,False,2024-02-20,72,medium
9,System timeout issue,Technical,Neutral,True,2024-05-16,16,medium
10,Feedback on service,General,Negative,False,2024-11-11,24,medium
11,How to use this feature?,General,Negative,False,2024-04-15,25,medium
12,Payment failed again,Billing,Negative,False,2025-01-16,8,medium
13,General inquiry,General,Negative,False,2024-07-29,69,medium
14,Unable to reset password,Account,Neutral,False,2025-03-13,59,low
15,System timeout issue,Technical,Positive,False,2025-01-05,32,medium
16,How to use this feature?,General,Neutral,False,2024-03-24,68,low
17,Unable to reset password,Account,Negative,False,2025-05-21,58,medium
18,Need more information about product,General,Positive,False,2024-10-21,16,low
19,Profile update failed,Account,Positive,False,2025-06-08,44,low
20,General inquiry,General,Neutral,False,2024-06-04,6,low
21,Feedback on service,General,Negative,False,2024-03-20,41,medium
22,Login issues with account,Account,Negative,False,2024-12-14,64,medium
23,Refund not processed,Billing,Positive,False,2025-04-12,35,medium
24,Refund not processed,Billing,Positive,False,2025-04-30,40,medium
25,System timeout issue,Technical,Negative,True,2025-04-01,45,high
26,Verification email not received,Account,Neutral,False,2024-01-24,22,low
27,General inquiry,General,Positive,False,2024-04-29,28,low
28,Unable to update payment method,Billing,Negative,False,2024-10-21,32,medium
29,Account locked unexpectedly,Account,Neutral,True,2025-02-11,58,medium
30,Feedback on service,General,Neutral,False,2025-02-15,18,low
31,Feedback on service,General,Neutral,False,2025-03-16,54,low
32,Account locked unexpectedly,Account,Positive,True,2025-01-02,23,medium
33,Error while uploading file,Technical,Negative,False,2024-06-03,30,medium
34,General inquiry,General,Negative,False,2024-01-13,24,medium
35,System timeout issue,Technical,Positive,True,2024-09-26,69,medium
36,Need more information about product,General,Negative,False,2025-01-13,41,medium
37,Request for demo,General,Negative,False,2024-05-08,7,medium
38,Feedback on service,General,Neutral,False,2025-04-12,51,low
39,Account locked unexpectedly,Account,Positive,True,2025-02-12,52,medium
40,Website not loading,Technical,Positive,False,2024-03-04,57,medium
41,Payment failed again,Billing,Neutral,False,2024-06-15,14,medium
42,How to use this feature?,General,Positive,False,2024-01-01,69,low
43,Login issues with account,Account,Negative,False,2024-04-13,4,medium
44,Website not loading,Technical,Negative,True,2024-03-13,33,high
45,Need more information about product,General,Neutral,False,2024-12-21,61,low
46,Payment failed again,Billing,Neutral,False,2024-05-05,60,medium
47,General inquiry,General,Neutral,False,2025-05-06,11,low
48,Payment failed again,Billing,Negative,True,2024-05-27,34,high
49,App crashes on login,Technical,Negative,True,2025-05-05,68,high
50,Unable to update payment method,Billing,Negative,False,2025-01-05,70,medium
51,Request for demo,General,Neutral,False,2024-01-28,12,low
52,Request for demo,General,Neutral,False,2024-09-24,22,low
53,Error while uploading file,Technical,Negative,False,2024-12-30,70,medium
54,Unable to reset password,Account,Negative,False,2025-05-29,29,medium
55,Error while uploading file,Technical,Neutral,False,2024-07-18,30,medium
56,Request for demo,General,Neutral,False,2024-07-23,46,low
57,Billing invoice incorrect,Billing,Neutral,True,2024-01-30,25,medium
58,Verification email not received,Account,Negative,False,2024-12-18,45,medium
59,Refund not processed,Billing,Positive,False,2025-01-08,14,medium
60,General inquiry,General,Positive,False,2024-08-20,44,low
61,General inquiry,General,Negative,False,2024-07-28,1,medium
62,Login issues with account,Account,Negative,False,2025-05-05,11,medium
63,Account locked unexpectedly,Account,Negative,False,2024-05-02,62,medium
64,Profile update failed,Account,Negative,False,2024-07-01,43,medium
65,Account locked unexpectedly,Account,Neutral,True,2024-03-29,11,medium
66,App crashes on login,Technical,Positive,True,2024-06-11,60,medium
67,Need more information about product,General,Negative,False,2024-05-29,61,medium
68,Unable to update payment method,Billing,Negative,False,2024-12-24,71,medium
69,Billing invoice incorrect,Billing,Positive,False,2024-05-14,14,medium
70,Unable to update payment method,Billing,Neutral,False,2025-06-23,25,medium
71,Billing invoice incorrect,Billing,Neutral,True,2024-08-04,65,medium
72,How to use this feature?,General,Neutral,False,2024-09-03,34,low
73,Profile update failed,Account,Positive,False,2025-07-11,8,low
74,Verification email not received,Account,Negative,False,2024-12-28,67,medium
75,Request for demo,General,Positive,False,2025-03-06,69,low
76,Request for demo,General,Negative,False,2024-06-04,3,medium
77,App crashes on login,Technical,Negative,True,2025-03-26,20,high
78,Unable to update payment method,Billing,Neutral,False,2024-06-25,16,medium
79,Unable to reset password,Account,Negative,False,2024-03-04,67,medium
80,Feedback on service,General,Neutral,False,2025-06-27,14,low
81,Error while uploading file,Technical,Positive,False,2024-02-28,36,medium
82,Payment failed again,Billing,Negative,True,2024-02-13,4,high
83,Verification email not received,Account,Neutral,False,2024-03-05,65,low
84,Website not loading,Technical,Negative,True,2025-06-08,66,high
85,General inquiry,General,Negative,False,2025-06-30,32,medium
